A0 A#0 B0 C1 C#1 D1 D#1 E1 F1 F#1 G1 G#1 A1 A#1 B1 C2 C#2 D2 D#2 E2 F2 F#2 G2 G#2 A2 A#2 B2 C3 C#3 D3 D#3 E3 F3 F#3 G3 G#3 A3 A#3 B3 C4 C#4 D4 D#4 E4 F4 F#4 G4 G#4 A4 A#4 B4 C5 C#5 D5 D#5 E5 F5 F#5 G5 G#5 A5 A#5 B5 C6 C#6 D6 D#6 E6 F6 F#6 G6 G#6 A6 A#6 B6 C7 C#7 D7 D#7 E7 F7 F#7 G7 G#7 A7 A#7 B7 C8
6.29234715739 0.04 0.025 0.0 -0.035 -0.08 -0.135 -0.2 -0.275 -0.36 -0.455 -0.56 -0.675 -0.8 -0.935 -1.08 -1.235 -1.4 -1.575 -1.76 -1.955 -2.16 -2.375 -2.6 -2.835 -3.08 -3.335 -3.6 -3.875 -4.16 -4.455 -4.76 -5.075 -5.4 -5.735 -6.08 -6.435 -6.8 -7.175 -7.56 -7.955 -8.36 -8.775 -9.2 -9.635 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0
0.04 5.7303921871 0.04 0.025 0.0 -0.035 -0.08 -0.135 -0.2 -0.275 -0.36 -0.455 -0.56 -0.675 -0.8 -0.935 -1.08 -1.235 -1.4 -1.575 -1.76 -1.955 -2.16 -2.375 -2.6 -2.835 -3.08 -3.335 -3.6 -3.875 -4.16 -4.455 -4.76 -5.075 -5.4 -5.735 -6.08 -6.435 -6.8 -7.175 -7.56 -7.955 -8.36 -8.775 -9.2 -9.635 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0
0.025 0.04 4.91635154847 0.04 0.025 0.0 -0.035 -0.08 -0.135 -0.2 -0.275 -0.36 -0.455 -0.56 -0.675 -0.8 -0.935 -1.08 -1.235 -1.4 -1.575 -1.76 -1.955 -2.16 -2.375 -2.6 -2.835 -3.08 -3.335 -3.6 -3.875 -4.16 -4.455 -4.76 -5.075 -5.4 -5.735 -6.08 -6.435 -6.8 -7.175 -7.56 -7.955 -8.36 -8.775 -9.2 -9.635 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0
0.0 0.025 0.04 4.07171917167 0.04 0.025 0.0 -0.035 -0.08 -0.135 -0.2 -0.275 -0.36 -0.455 -0.56 -0.675 -0.8 -0.935 -1.08 -1.235 -1.4 -1.575 -1.76 -1.955 -2.16 -2.375 -2.6 -2.835 -3.08 -3.335 -3.6 -3.875 -4.16 -4.455 -4.76 -5.075 -5.4 -5.735 -6.08 -6.435 -6.8 -7.175 -7.56 -7.955 -8.36 -8.775 -9.2 -9.635 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0
-0.035 0.0 0.025 0.04 4.19061492581 0.04 0.025 0.0 -0.035 -0.08 -0.135 -0.2 -0.275 -0.36 -0.455 -0.56 -0.675 -0.8 -0.935 -1.08 -1.235 -1.4 -1.575 -1.76 -1.955 -2.16 -2.375 -2.6 -2.835 -3.08 -3.335 -3.6 -3.875 -4.16 -4.455 -4.76 -5.075 -5.4 -5.735 -6.08 -6.435 -6.8 -7.175 -7.56 -7.955 -8.36 -8.775 -9.2 -9.635 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0
-0.08 -0.035 0.0 0.025 0.04 3.24704438408 0.04 0.025 0.0 -0.035 -0.08 -0.135 -0.2 -0.275 -0.36 -0.455 -0.56 -0.675 -0.8 -0.935 -1.08 -1.235 -1.4 -1.575 -1.76 -1.955 -2.16 -2.375 -2.6 -2.835 -3.08 -3.335 -3.6 -3.875 -4.16 -4.455 -4.76 -5.075 -5.4 -5.735 -6.08 -6.435 -6.8 -7.175 -7.56 -7.955 -8.36 -8.775 -9.2 -9.635 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0
-0.135 -0.08 -0.035 0.0 0.025 0.04 2.64702567762 0.04 0.025 0.0 -0.035 -0.08 -0.135 -0.2 -0.275 -0.36 -0.455 -0.56 -0.675 -0.8 -0.935 -1.08 -1.235 -1.4 -1.575 -1.76 -1.955 -2.16 -2.375 -2.6 -2.835 -3.08 -3.335 -3.6 -3.875 -4.16 -4.455 -4.76 -5.075 -5.4 -5.735 -6.08 -6.435 -6.8 -7.175 -7.56 -7.955 -8.36 -8.775 -9.2 -9.635 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0
-0.2 -0.135 -0.08 -0.035 0.0 0.025 0.04 1.09847997417 0.04 0.025 0.0 -0.035 -0.08 -0.135 -0.2 -0.275 -0.36 -0.455 -0.56 -0.675 -0.8 -0.935 -1.08 -1.235 -1.4 -1.575 -1.76 -1.955 -2.16 -2.375 -2.6 -2.835 -3.08 -3.335 -3.6 -3.875 -4.16 -4.455 -4.76 -5.075 -5.4 -5.735 -6.08 -6.435 -6.8 -7.175 -7.56 -7.955 -8.36 -8.775 -9.2 -9.635 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0
-0.275 -0.2 -0.135 -0.08 -0.035 0.0 0.025 0.04 1.75385986657 0.04 0.025 0.0 -0.035 -0.08 -0.135 -0.2 -0.275 -0.36 -0.455 -0.56 -0.675 -0.8 -0.935 -1.08 -1.235 -1.4 -1.575 -1.76 -1.955 -2.16 -2.375 -2.6 -2.835 -3.08 -3.335 -3.6 -3.875 -4.16 -4.455 -4.76 -5.075 -5.4 -5.735 -6.08 -6.435 -6.8 -7.175 -7.56 -7.955 -8.36 -8.775 -9.2 -9.635 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0
-0.36 -0.275 -0.2 -0.135 -0.08 -0.035 0.0 0.025 0.04 2.06635138428 0.04 0.025 0.0 -0.035 -0.08 -0.135 -0.2 -0.275 -0.36 -0.455 -0.56 -0.675 -0.8 -0.935 -1.08 -1.235 -1.4 -1.575 -1.76 -1.955 -2.16 -2.375 -2.6 -2.835 -3.08 -3.335 -3.6 -3.875 -4.16 -4.455 -4.76 -5.075 -5.4 -5.735 -6.08 -6.435 -6.8 -7.175 -7.56 -7.955 -8.36 -8.775 -9.2 -9.635 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0 -10.0
